Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Powertrain Type
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,69900.0,ICE
Koenigsegg,Jesko,2022,5.0,1600.0,1106.0,2.5,3000000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105950.0,ICE
Maserati,GranTurismo,2020,4.7,454.0,384.0,4.8,150000.0,ICE
McLaren,570S,2020,3.8,562.0,443.0,3.1,204550.0,ICE
Pagani,Huayra,2020,6.0,720.0,738.0,3.0,2700000.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102900.0,ICE
Rimac,C_Two,2022,0.0,1914.0,1696.0,1.9,2400000.0,Electric
Rolls-Royce,Wraith,2021,6.6,624.0,605.0,4.3,330000.0,ICE
Shelby,Cobra,1965,7.0,435.0,440.0,4.2,1000000.0,ICE
Tesla,Model S Plaid,2021,0.0,1020.0,1050.0,1.98,131190.0,Electric
Toyota,GR Supra,2022,3.0,382.0,368.0,3.9,43090.0,ICE
TVR,Griffith,2022,5.0,500.0,479.0,3.8,123500.0,ICE
W Motors,Lykan Hypersport,2015,3.7,780.0,708.0,2.8,3400000.0,ICE
Porsche,718 Cayman,2021,2.0,300.0,280.0,4.5,61500.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,518000.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,507000.0,ICE
Audi,RS 6,2021,4.0,591.0,590.0,3.5,109000.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000.0,ICE
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,228000.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,45000.0,ICE
Porsche,Taycan,2021,0.0,750.0,774.0,2.6,185000.0,Electric
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004.0,ICE
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,276550.0,ICE
Audi,RS 3,2022,2.5,401.0,354.0,3.5,56000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,191000.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,104000.0,ICE
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.9,69900.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64000.0,ICE
Porsche,Taycan,2022,2.0,402.0,254.0,5.1,81250.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517700.0,ICE
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.4,330000.0,ICE
Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,109000.0,ICE
McLaren,600LT,2021,3.8,592.0,457.0,2.8,242500.0,ICE
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516.0,3.7,77000.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,72800.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62000.0,ICE
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,76000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.9,500000.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,4.9,30090.0,ICE
Porsche,Panamera,2022,2.9,325.0,332.0,5.3,87200.0,ICE
Lamborghini,Urus,2021,4.0,641.0,626.0,3.5,218000.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.3,3000000.0,ICE
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280.0,ICE
Audi,RS 7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,191000.0,ICE
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,142086.0,ICE
Jaguar,F-Type,2022,5.0,575.0,516.0,3.5,103200.0,ICE
Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,177700.0,ICE
Lamborghini,Aventador S,2021,6.5,729.0,509.0,2.9,417650.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,115045.0,ICE
McLaren,600LT,2021,3.8,592.0,457.0,2.9,256500.0,ICE
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895.0,ICE
Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,152500.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,69995.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.9,500000.0,ICE
Porsche,Taycan Turbo S,2021,0.0,750.0,774.0,2.6,185000.0,Electric
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218009.0,ICE
Ferrari,812 Superfast,2021,6.5,789.0,530.0,2.9,363730.0,ICE
Audi,R8 Spyder,2022,5.2,562.0,406.0,3.5,183300.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,73795.0,ICE
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,183000.0,ICE
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,60995.0,ICE
Aston Martin,DB11,2022,5.2,630.0,516.0,3.5,207000.0,ICE
Bentley,Continental GT,2022,6.0,626.0,664.0,3.5,203825.0,ICE
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200.0,ICE
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.7,99800.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,100200.0,ICE
Alfa Romeo,4C,2020,1.7,237.0,258.0,4.1,67150.0,ICE
Audi,RS5,2022,2.9,444.0,443.0,3.7,77250.0,ICE
BMW,M2 Competition,2021,3.0,405.0,406.0,4.0,58900.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Dodge,Charger SRT Hellcat,2022,6.2,717.0,650.0,3.6,71490.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
Maserati,GranTurismo,2020,4.7,454.0,384.0,4.8,150400.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.6,47820.0,ICE
Rolls-Royce,Wraith,2022,6.8,624.0,605.0,4.4,330000.0,ICE
Subaru,WRX STI,2021,2.5,310.0,290.0,4.6,38170.0,ICE
Tesla,Model S Plaid,2022,0.0,1020.0,1050.0,1.9,131190.0,Electric
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000.0,ICE
Lamborghini,Aventador,2021,6.5,729.0,507.0,2.9,393695.0,ICE
Ferrari,Portofino,2022,3.9,591.0,413.0,3.3,218750.0,ICE
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
McLaren,600LT,2021,3.8,592.0,457.0,2.8,256500.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Mercedes-Benz,AMG GT,2021,4.0,523.0,494.0,3.8,118500.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,40590.0,ICE
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52720.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.6,45000.0,ICE
Porsche,Panamera Turbo,2022,4.0,620.0,604.0,3.1,174300.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,222004.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.4,67895.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,62290.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,304995.0,ICE
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,101200.0,ICE
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895.0,ICE
Audi,RS 5 Coupe,2021,2.9,444.0,443.0,3.7,75100.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64195.0,ICE
Lotus,Evora GT,2022,3.5,416.0,317.0,3.8,105000.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,211000.0,ICE
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468.0,3.5,275000.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,2998000.0,ICE
Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,3000000.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Lamborghini,Aventador SVJ,2020,6.5,770.0,531.0,2.8,573966.0,ICE
Rimac,C_Two,2022,0.0,1914.0,1732.0,1.85,2400000.0,Electric
Pagani,Huayra Roadster BC,2021,6.0,791.0,774.0,2.5,3500000.0,ICE
Pininfarina,Battista,2022,0.0,1874.0,1696.0,1.9,2500000.0,Electric
Acura,NSX,2022,3.5,573.0,476.0,2.9,157500.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000.0,ICE
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,219800.0,ICE
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,70000.0,ICE
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,61600.0,ICE
Kia,Stinger,2022,3.3,368.0,376.0,4.7,52200.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,134300.0,ICE
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102550.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,76400.0,ICE
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,103500.0,ICE
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,69000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826.0,ICE
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000.0,ICE
Mercedes-Benz,SLS AMG,2021,4.0,577.0,516.0,3.6,247500.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45790.0,ICE
Porsche,Taycan,2022,0.0,616.0,774.0,2.6,79900.0,Electric
Tesla,Model S,2022,0.0,1020.0,1050.0,1.98,119000.0,Electric
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.2,307820.0,ICE
Bentley,Continental GT,2022,4.0,542.0,568.0,3.4,207825.0,ICE
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.3,2998000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,202500.0,ICE
Porsche,Taycan Turbo S,2021,0.0,750.0,774.0,2.6,185000.0,Electric
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826.0,ICE
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,276550.0,ICE
Audi,RS 7,2022,4.0,591.0,590.0,3.5,114000.0,ICE
BMW,M2 CS,2022,3.0,444.0,406.0,4.0,84595.0,ICE
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.2,275000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,103200.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,96950.0,ICE
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.8,134300.0,ICE
McLaren,765LT,2021,4.0,755.0,590.0,2.8,358000.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,5.0,30000.0,ICE
Pagani,Huayra,2021,6.0,730.0,738.0,3.0,2600000.0,ICE
Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,180000.0,ICE
Tesla,Model S Plaid,2021,0.0,1020.0,1050.0,1.9,131100.0,Electric
Aston Martin,DB11,2021,4.0,503.0,513.0,4.0,201495.0,ICE
Dodge,Challenger Hellcat Redeye,2022,6.2,797.0,707.0,3.4,82190.0,ICE
Lotus,Evora,2021,3.5,416.0,317.0,3.8,96950.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.7,159495.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,76950.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,202500.0,ICE
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,70100.0,ICE
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,3000000.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.8,132795.0,ICE
McLaren,GT,2022,4.0,612.0,465.0,3.1,215500.0,ICE
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516.0,3.7,80900.0,ICE
Porsche,718 Cayman,2021,2.0,300.0,280.0,4.9,59900.0,ICE
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.3,330000.0,ICE
Tesla,Roadster,2022,0.0,1000.0,7376.0,1.9,200000.0,Electric
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,40000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500.0,ICE
Aston Martin,DB11,2021,5.2,630.0,516.0,3.7,209000.0,ICE
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,202500.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Dodge,Challenger Hellcat,2022,6.2,717.0,656.0,3.5,67500.0,ICE
Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,103200.0,ICE
Koenigsegg,Jesko,2022,5.0,1280.0,1106.0,2.5,2800000.0,ICE
Lexus,LC,2021,5.0,471.0,398.0,4.4,92950.0,ICE
